Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
03/18/2020,162,1,37,2,31,32,40,23,18,11,5,0,80,82,0,19,8,64,62,3,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,5,7,9,8,6,0,11,26,0,6,3,20,7,0,1
04/29/2020,1154,42,156,54,210,230,219,202,118,62,59,0,534,588,32,513,17,171,115,45,293,0,1,1,4,4,5,8,19,0,20,22,0,16,3,13,10,0,0,0,12,12,22,25,34,20,31,0,78,78,0,59,4,46,33,9,5
04/02/2020,439,15,169,2,60,69,85,92,58,40,33,0,210,224,5,87,13,225,58,18,38,0,0,0,1,2,1,7,4,0,5,10,0,2,2,9,2,0,0,1,7,15,28,32,35,30,21,0,70,98,1,39,3,97,20,9,1
09/09/2020,400,5,14,41,131,77,53,46,37,11,4,0,218,182,0,196,10,52,77,8,57,0,0,0,0,1,1,2,1,0,4,1,0,5,0,0,0,0,0,0,1,0,5,2,1,4,1,0,6,8,0,5,0,4,2,2,1
07/05/2020,88,3,12,6,28,19,14,11,8,2,0,0,52,35,1,23,0,19,19,7,20,0,0,0,1,1,1,0,0,0,0,3,0,1,0,1,1,0,0,0,2,1,3,2,1,1,2,0,3,9,0,4,1,3,4,0,0
03/27/2020,405,8,154,4,43,61,86,103,49,37,22,0,211,192,2,68,9,208,69,13,38,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0,2,4,8,27,40,34,21,18,0,76,78,0,18,6,112,12,4,2
07/25/2020,161,8,16,29,36,35,25,16,8,9,3,0,83,78,0,58,7,35,32,9,20,0,0,0,1,1,3,1,2,0,4,4,0,2,0,3,3,0,0,0,0,3,3,1,4,3,2,0,9,7,0,2,0,9,4,1,0
08/15/2020,224,5,14,18,64,41,29,35,22,11,2,2,104,116,4,74,7,51,61,6,25,0,0,0,1,0,0,2,2,0,3,2,0,0,0,3,2,0,0,0,2,2,0,3,0,5,2,0,6,8,0,3,0,8,3,0,0
05/20/2020,774,29,70,58,209,132,138,107,74,36,18,2,404,361,9,356,4,143,59,26,186,0,1,1,1,6,10,4,6,0,7,22,0,15,3,7,4,0,0,3,7,4,7,7,15,15,12,0,37,33,0,25,1,34,6,1,3
03/19/2020,185,2,39,5,35,47,36,25,18,17,2,0,87,97,1,20,10,80,63,7,5,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,2,8,9,6,11,2,0,17,22,0,4,1,25,8,1,0
06/28/2020,112,5,24,8,36,22,21,10,9,4,2,0,65,47,0,34,1,21,25,6,25,0,0,0,1,0,2,0,2,0,4,1,0,2,0,2,1,0,0,0,4,0,3,4,3,5,5,0,15,9,0,7,0,11,6,0,0
06/07/2020,111,20,27,3,30,29,16,13,9,7,4,0,52,59,0,45,3,21,9,3,30,0,0,1,2,1,8,1,7,0,7,13,0,10,0,8,2,0,0,0,5,5,5,4,4,4,0,0,16,11,0,13,2,9,1,1,1
08/29/2020,225,4,14,24,70,35,40,24,20,12,0,0,122,103,0,98,5,24,56,6,36,0,0,0,0,1,1,1,1,0,2,2,0,1,1,0,2,0,0,2,1,2,2,2,3,2,0,0,6,8,0,5,0,4,4,0,1
05/09/2020,521,52,83,34,103,100,98,90,54,28,13,1,264,253,4,243,9,91,37,17,124,0,1,0,4,6,6,11,24,0,23,29,0,26,3,14,8,1,0,1,7,8,11,16,17,14,9,0,43,39,1,35,1,27,13,5,2
08/01/2020,141,5,16,7,45,27,18,24,11,6,3,0,69,72,0,48,0,32,32,6,23,0,0,0,0,1,0,2,2,0,3,2,0,2,0,2,0,0,1,0,3,2,4,2,0,4,1,0,8,8,0,6,0,8,2,0,0
09/13/2020,114,4,12,13,31,30,17,12,8,3,0,0,58,56,0,28,1,13,27,5,40,0,0,0,0,0,1,1,2,0,2,2,0,1,0,3,0,0,0,2,2,2,0,3,2,1,0,0,8,4,0,7,0,3,1,1,0
03/22/2020,169,2,75,6,23,28,31,37,24,14,6,0,75,94,0,22,6,82,50,6,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,6,9,12,15,13,14,5,0,36,38,1,11,4,49,7,3,1
05/28/2020,521,22,51,41,111,89,98,69,62,27,24,0,257,255,9,211,7,114,57,14,118,0,0,0,1,5,1,4,11,0,11,11,0,10,0,7,5,0,0,3,2,4,5,7,12,6,12,0,28,23,0,22,2,17,8,1,1
,136,0,374,4,29,27,24,24,13,10,4,1,66,65,5,24,7,38,10,6,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,49,53,62,57,55,47,35,0,177,190,7,124,14,137,64,19,16
08/05/2020,377,4,13,45,115,82,52,33,32,14,4,0,185,190,2,169,3,84,71,12,38,0,0,0,1,0,2,1,0,0,0,4,0,3,0,1,0,0,0,0,0,0,1,4,2,3,3,0,7,6,0,2,0,8,3,0,0
07/07/2020,345,4,22,36,108,69,54,46,19,8,5,0,186,158,1,98,12,92,69,12,62,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0,0,2,3,2,5,3,5,2,0,8,14,0,4,2,11,4,1,0
07/06/2020,284,5,20,22,81,66,41,36,21,11,6,0,150,127,7,87,12,66,46,7,66,0,0,0,0,1,2,0,2,0,4,1,0,1,0,2,2,0,0,0,1,3,2,4,3,4,3,0,11,9,0,2,1,12,5,0,0
05/18/2020,948,33,85,67,236,152,190,150,83,46,23,1,496,440,12,428,10,146,70,36,258,0,0,2,2,2,5,10,12,0,13,20,0,10,1,13,9,0,0,1,11,8,10,16,10,14,15,0,42,43,0,32,0,35,13,4,1
06/25/2020,247,10,16,21,68,65,37,21,20,11,4,0,123,124,0,85,3,56,42,10,51,0,0,0,3,0,2,2,3,0,5,5,0,6,0,3,1,0,0,0,2,1,2,3,3,4,1,0,7,9,0,6,0,9,1,0,0
06/06/2020,170,21,31,18,33,22,36,28,20,9,4,0,88,81,1,81,1,25,22,6,35,0,0,1,1,0,8,7,4,0,7,14,0,9,1,9,2,0,0,0,5,4,2,5,9,2,4,0,10,21,0,13,0,11,6,0,1
08/28/2020,379,4,15,63,108,60,51,48,29,15,5,0,177,201,1,164,7,66,67,15,60,0,0,1,0,1,0,2,0,0,4,0,0,2,0,2,0,0,0,1,1,1,3,1,2,3,3,0,8,7,0,3,0,10,1,1,0
09/08/2020,362,1,16,36,118,78,56,37,23,9,5,0,174,188,0,167,7,35,72,11,70,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,2,3,4,3,0,5,11,0,8,0,5,2,1,0
05/17/2020,326,41,69,17,54,57,37,65,44,22,30,0,155,168,3,138,7,71,30,13,67,0,0,1,1,3,14,9,13,0,16,25,0,18,2,13,7,1,0,0,2,5,5,14,22,11,10,0,31,38,0,24,3,23,12,3,4
09/02/2020,402,3,12,41,125,81,66,46,25,12,6,0,221,180,1,160,7,57,86,13,79,0,0,0,0,1,1,0,1,0,1,2,0,1,0,1,1,0,0,0,0,5,2,2,3,0,0,0,5,7,0,6,0,3,3,0,0
09/12/2020,125,0,7,11,27,30,23,17,12,4,1,0,64,59,2,28,7,20,20,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,4,3,0,4,1,2,0,0,0
05/21/2020,806,34,79,75,177,137,121,123,79,51,43,0,417,371,18,368,24,132,54,29,199,0,0,1,0,3,13,11,6,0,14,20,0,16,1,6,11,0,0,1,5,10,12,11,19,13,8,0,38,41,0,31,8,31,5,3,1
08/18/2020,394,1,12,50,122,74,57,45,23,19,4,0,203,188,3,182,6,59,75,9,63,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,3,1,0,1,2,3,0,7,5,0,4,0,5,3,0,0
04/26/2020,434,51,127,13,84,54,96,66,57,32,32,0,229,202,3,149,18,90,60,22,95,0,1,0,4,3,13,11,19,0,22,29,0,18,2,23,8,0,0,0,12,5,22,21,28,19,20,0,56,71,0,54,3,34,25,10,1
05/30/2020,240,21,41,22,56,41,43,41,23,9,5,0,133,105,2,97,4,45,20,12,62,0,0,0,2,1,7,5,6,0,11,10,0,11,0,5,4,1,0,1,4,1,6,10,8,5,6,0,16,25,0,13,2,15,7,1,3
07/19/2020,101,2,17,15,27,24,10,13,5,6,1,0,53,47,1,27,2,32,21,3,16,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,1,1,4,5,1,1,1,0,10,7,0,2,0,11,3,0,1
08/12/2020,434,2,22,51,119,94,72,54,29,9,6,0,224,207,3,176,1,81,90,20,66,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,2,1,2,4,8,3,2,0,9,13,0,9,0,8,3,1,1
03/20/2020,155,0,52,2,23,22,32,30,27,15,4,0,71,84,0,20,6,78,38,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,12,15,11,2,0,19,33,0,8,1,36,6,1,0
04/25/2020,635,38,116,32,121,121,132,106,67,32,24,0,307,325,3,266,14,106,76,23,150,0,0,2,1,6,6,11,12,0,14,24,0,13,2,19,4,0,0,0,5,11,13,25,28,19,15,0,51,65,0,44,3,39,18,12,0
07/23/2020,318,2,25,33,102,68,43,35,17,12,8,0,190,127,1,93,13,79,74,14,45,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,3,6,2,5,2,5,2,0,13,12,0,12,1,8,3,1,0
04/16/2020,680,30,154,8,119,114,119,122,95,62,41,0,320,352,8,232,15,202,94,27,110,0,0,0,2,3,6,8,11,0,14,16,0,5,3,16,6,0,0,0,6,10,15,33,33,33,24,0,55,97,2,44,2,72,23,11,2
03/06/2020,3,0,3,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,1,0,1,1,0,0
09/06/2020,134,2,7,16,39,27,17,18,10,3,4,0,70,64,0,52,0,25,32,3,22,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,2,2,1,0,4,3,0,4,0,3,0,0,0
07/12/2020,97,4,13,7,32,15,19,11,4,7,2,0,53,44,0,26,4,26,19,4,18,0,0,0,0,0,2,0,2,0,2,2,0,0,0,1,2,0,1,1,2,0,1,2,2,5,0,0,4,9,0,2,2,7,2,0,0
08/11/2020,385,4,16,47,101,73,68,49,37,7,3,0,181,201,3,160,4,74,75,16,56,0,0,0,0,1,0,1,2,0,1,3,0,1,1,2,0,0,0,0,0,2,0,3,6,2,3,0,11,5,0,2,0,8,6,0,0
09/14/2020,406,3,,58,99,92,61,54,28,8,6,0,206,198,2,168,8,50,59,11,110,0,0,0,0,1,0,1,1,0,1,2,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
03/28/2020,252,4,133,2,28,54,38,45,38,28,19,0,138,113,1,37,5,134,43,11,22,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,0,1,0,1,5,11,17,33,21,23,22,0,71,62,0,22,3,85,16,6,1
04/30/2020,1278,40,167,57,231,223,227,187,150,99,104,0,623,625,30,537,23,212,147,49,310,0,0,3,0,4,8,11,14,0,17,23,0,13,1,18,8,0,0,1,11,16,13,33,38,25,30,0,74,91,2,59,8,55,30,11,4
08/13/2020,395,4,19,39,119,80,74,40,24,11,8,0,213,178,4,181,7,72,89,14,32,0,0,0,0,1,0,3,0,0,1,3,0,2,0,1,1,0,0,0,3,1,5,0,3,6,1,0,11,8,0,6,0,10,1,1,1
09/05/2020,196,4,17,24,58,38,34,20,15,6,1,0,92,104,0,79,1,23,37,5,51,0,0,1,0,1,0,1,1,0,1,3,0,2,0,2,0,0,0,0,1,2,3,3,4,2,2,0,11,6,0,6,0,5,6,0,0
07/28/2020,337,3,10,38,86,76,68,33,20,9,7,0,188,145,4,154,10,74,45,10,44,0,0,0,1,0,0,1,1,0,1,2,0,0,0,2,1,0,0,1,2,4,1,0,0,1,1,0,8,2,0,4,0,5,1,0,0
09/11/2020,336,5,18,50,93,79,39,37,20,15,3,0,164,171,1,140,4,38,67,12,75,0,0,1,0,2,0,1,1,0,0,5,0,3,0,1,0,0,1,0,1,2,1,5,5,1,3,0,7,11,0,11,1,3,3,0,0
03/14/2020,31,0,11,0,9,2,7,6,3,3,1,0,17,12,2,2,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,0,8,3,0,3,0,5,3,0,0
06/10/2020,235,11,24,10,57,47,32,36,26,18,9,0,130,100,5,98,3,46,30,7,51,0,0,1,2,2,1,4,1,0,4,7,0,4,1,6,0,0,0,0,0,2,2,6,3,5,6,0,14,10,0,3,1,16,4,0,0
06/15/2020,235,20,27,36,57,42,34,30,25,9,2,0,131,102,2,101,5,48,20,9,52,0,0,0,1,1,2,5,11,0,9,11,0,5,2,4,8,0,1,4,3,3,1,5,8,0,3,0,17,10,0,11,1,10,5,0,0
04/24/2020,1076,53,167,30,180,171,185,190,157,73,90,0,495,533,48,417,29,220,147,58,205,0,1,2,0,6,12,15,17,0,19,34,0,14,2,22,15,0,0,3,4,22,16,34,41,25,22,0,77,89,1,66,4,59,26,11,1
03/31/2020,488,16,160,5,57,103,96,92,69,39,27,0,258,223,7,106,16,216,81,16,53,0,0,0,4,1,0,5,6,0,6,10,0,2,0,14,0,0,0,2,6,16,25,33,31,27,20,0,68,87,5,28,3,98,17,10,4
06/12/2020,247,21,19,32,60,42,46,27,21,8,11,0,140,103,4,127,2,40,22,6,50,0,0,1,0,3,7,7,3,0,9,12,0,11,0,7,3,0,0,1,1,0,2,3,6,5,1,0,9,10,0,9,0,7,2,0,1
05/22/2020,726,35,69,64,155,135,126,112,74,35,25,0,369,347,10,349,10,145,61,26,135,0,0,0,1,6,9,8,11,0,16,19,0,11,2,14,8,0,0,0,7,10,5,8,13,14,12,0,26,42,1,31,3,27,5,0,3
08/19/2020,469,5,16,55,144,84,57,70,39,13,7,0,250,218,1,205,4,81,91,23,65,0,0,0,1,0,2,1,1,0,3,2,0,2,0,1,2,0,0,0,2,1,1,4,2,5,1,0,9,7,0,3,0,9,4,0,0
08/17/2020,499,3,17,68,148,84,73,63,30,23,10,0,238,255,6,263,10,78,88,15,45,0,0,0,0,1,0,1,1,0,1,2,0,0,0,2,1,0,0,0,0,2,3,4,2,5,1,0,7,10,0,6,0,9,2,0,0
03/16/2020,78,1,17,1,14,21,18,12,7,4,1,0,37,41,0,8,6,25,30,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,7,3,2,2,1,0,4,13,0,2,0,11,4,0,0
06/11/2020,204,10,23,19,65,27,29,32,19,9,4,0,107,92,5,98,3,31,25,5,42,0,0,0,1,1,2,2,4,0,4,6,0,3,1,4,2,0,0,0,4,4,2,5,3,2,3,0,7,16,0,12,0,8,3,0,0
05/25/2020,252,23,60,7,34,35,41,43,49,26,17,0,123,126,3,76,6,67,42,3,58,0,0,1,0,4,4,7,7,0,11,12,0,6,0,10,6,1,0,2,7,3,5,6,12,10,15,0,30,30,0,18,2,31,5,1,3
08/26/2020,387,2,23,48,125,81,44,45,23,12,9,0,194,191,2,190,5,44,84,18,46,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,1,4,2,1,4,3,4,4,0,13,10,0,10,1,6,3,2,1
04/09/2020,578,25,157,9,83,103,104,130,74,40,35,0,258,311,9,173,24,208,82,28,63,0,0,0,0,3,7,5,10,0,13,12,0,5,1,14,5,0,0,2,5,12,16,35,33,30,24,0,65,86,6,29,6,86,29,6,1
07/22/2020,371,4,20,41,125,82,57,29,22,14,1,0,191,174,6,137,9,78,96,10,41,0,0,0,0,1,0,1,2,0,1,3,0,1,0,1,2,0,0,1,3,2,5,0,3,5,1,0,13,7,0,6,1,12,1,0,0
03/24/2020,350,2,121,1,59,67,58,56,61,34,14,0,158,191,1,63,13,156,84,9,25,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,1,3,11,15,29,27,21,14,0,48,73,0,22,0,73,19,5,2
08/16/2020,123,2,12,10,40,29,9,16,10,7,1,1,58,63,2,27,6,19,41,10,20,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,4,0,1,1,5,0,1,0,7,4,1,6,1,4,0,1,0
04/18/2020,535,39,163,12,89,101,96,90,81,44,22,0,244,286,5,178,17,161,61,21,97,0,0,0,3,4,8,12,12,0,20,19,0,12,5,20,2,0,0,1,7,17,19,36,39,27,17,0,61,102,0,53,4,74,22,8,2
05/07/2020,941,49,135,58,180,194,171,147,118,40,33,0,480,449,12,434,10,124,90,47,236,0,0,2,2,8,14,10,13,0,20,29,0,16,3,19,8,1,2,2,4,17,19,19,33,24,17,0,53,82,0,59,3,41,22,8,2
09/15/2020,301,0,,45,80,55,46,37,22,13,3,0,154,146,1,123,3,38,48,15,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
07/30/2020,341,2,12,49,77,80,49,50,25,7,4,0,175,165,1,155,11,72,56,8,39,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,1,1,1,1,2,1,4,1,0,6,6,0,4,1,4,3,0,0
04/05/2020,292,26,146,3,31,50,49,73,42,20,24,0,127,162,3,71,11,109,54,11,36,0,0,0,2,5,2,10,7,0,8,18,0,5,0,18,3,0,0,0,3,11,24,35,25,25,23,0,56,89,1,31,9,80,17,6,3
06/27/2020,130,5,13,11,41,21,24,13,10,7,3,0,64,65,1,44,2,33,21,6,24,0,0,0,0,0,1,2,2,0,4,1,0,1,0,3,1,0,0,1,3,0,1,1,4,0,3,0,9,4,0,6,0,6,1,0,0
03/21/2020,125,2,66,0,18,25,20,28,16,13,5,0,53,72,0,25,6,61,26,3,4,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,4,6,8,19,11,14,4,0,23,43,0,13,4,34,12,2,1
05/16/2020,516,28,76,35,107,87,93,77,60,35,22,0,279,231,6,203,11,98,51,16,137,0,0,1,3,0,6,4,14,0,8,20,0,9,1,12,6,0,0,2,9,4,11,13,11,15,11,0,37,39,0,27,4,29,10,1,5
05/23/2020,328,30,67,31,64,57,54,54,36,18,14,0,176,150,2,124,7,68,32,10,87,0,1,1,1,2,4,9,12,0,16,14,0,9,0,10,11,0,0,3,7,5,9,8,19,7,9,0,28,39,0,27,3,30,4,2,1
06/18/2020,184,14,27,24,43,34,30,29,9,5,10,0,94,86,4,81,3,31,25,4,40,0,0,1,1,0,5,4,3,0,7,7,0,6,0,7,1,0,0,1,2,6,3,1,3,5,6,0,16,11,0,11,0,8,8,0,0
05/12/2020,943,46,104,64,178,177,182,162,92,50,38,0,493,445,5,440,10,169,101,21,202,0,0,4,2,4,10,7,19,0,12,34,0,21,2,19,4,0,0,1,7,16,10,22,20,14,14,0,48,56,0,46,2,38,16,1,1
09/17/2020,35,0,,3,10,8,4,4,3,2,1,0,15,20,0,2,0,4,14,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
03/13/2020,32,0,12,0,4,13,5,5,5,0,0,0,8,24,0,4,3,4,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,2,0,0,6,6,0,2,0,5,5,0,0
